season,episode,name,rating
11,3,Under the Radar,7.5
11,4,Anonymous Was a Woman,7.9
11,5,Once a Crook,7.6
11,6,Oil and Water,7.5
11,7,Better Angels,8.2
11,8,Alibi,7.8
11,9,Gut Check,8.2
11,10,Devil's Triad,8.2
11,11,Homesick,7.5
11,12,Kill Chain,7.6
11,13,Double Back,7.8
11,14,Monsters and Men,7.7
11,15,Bulletproof,7.4
11,16,Dressed to Kill,7.7
11,17,Rock and a Hard Place,7.4
11,18,Crescent City: Part 1,7.5
11,19,Crescent City: Part 2,7.6
11,20,Page Not Found,7.7
11,21,Alleged,7.7
11,22,Shooter,8.0
11,23,The Admiral's Daughter,8.0
11,24,Honor Thy Father,8.7
12,1,Twenty Klicks,8.2
12,2,Kill the Messenger,7.7
12,3,So It Goes,8.4
12,4,Choke Hold,8.1
12,5,The San Dominick,8.1
12,6,Parental Guidance Suggested,8.2
12,7,The Searchers,8.1
12,8,Semper Fortis,8.1
12,9,Grounded,8.4
12,10,House Rules,8.0
12,11,Check,8.7
12,12,The Enemy Within,7.8
12,13,"We Build, We Fight",7.7
12,14,Cadence,8.0
12,15,Cabin Fever,8.2
12,16,Blast from the Past,7.7
12,17,The Artful Dodger,7.8
12,18,Status Update,8.0
12,19,Patience,7.8
12,20,No Good Deed,7.4
12,21,Lost in Translation,7.9
12,22,Troll,8.0
12,23,The Lost Boys,8.6
12,24,Neverland,8.4
13,1,Stop the Bleeding,8.3
13,2,Personal Day,7.8
13,3,Incognito,7.9
13,4,Double Trouble,7.7
13,5,Lockdown,8.1
13,6,Viral,7.7
13,7,16 Years,8.1
13,8,Saviors,8.4
13,9,Day in Court,8.0
13,10,Blood Brothers,8.0
13,11,Spinning Wheel,8.8
13,12,"Sister City, Part I",8.0
13,13,Déjà Vu,7.7
13,14,Decompressed,7.7
13,15,React,8.1
13,16,Loose Cannons,8.0
13,17,After Hours,8.1
13,18,Scope,8.7
13,19,Reasonable Doubts,8.2
13,20,Charade,8.1
13,21,Return to Sender,8.0
13,22,Homefront,8.0
